player,nation,pos,squad,born,90s,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast,ppa,crs_pa,prog,year,league 
Gojko Ka_ar,rs SRB,"DF,MF",Hamburger SV,1987,7.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Elias Kachunga,cd COD,"FW,MF",Paderborn 07,1992,24.6,,,,,,,,,,,,,,,1,,,,2014,Germany
Václav Kadlec,cz CZE,FW,Eint Frankfurt,1992,1.3,,,,,,,,,,,,,,,0,,,,2014,Germany
Shinji Kagawa,jp JPN,MF,Dortmund,1989,20.8,,,,,,,,,,,,,,,6,,,,2014,Germany
Salomon Kalou,ci CIV,"FW,MF",Hertha BSC,1985,20.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Kevin Kampl,si SVN,MF,Dortmund,1990,8,,,,,,,,,,,,,,,1,,,,2014,Germany
Stefanos Kapino,gr GRE,GK,Mainz 05,1994,1.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Kenan Karaman,tr TUR,"FW,MF",Hannover 96,1994,3,,,,,,,,,,,,,,,0,,,,2014,Germany
Loris Karius,de GER,GK,Mainz 05,1993,32.4,,,,,,,,,,,,,,,0,,,,2014,Germany
Florian Kath,de GER,MF,Freiburg,1994,0.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Sebastian Kehl,de GER,MF,Dortmund,1980,18.8,,,,,,,,,,,,,,,1,,,,2014,Germany
Marc-Oliver Kempf,de GER,DF,Freiburg,1995,10.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Sebastian Kerk,de GER,MF,Freiburg,1994,3.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Thomas Kessler,de GER,GK,Köln,1986,1,,,,,,,,,,,,,,,0,,,,2014,Germany
Jerome Kiesewetter,us USA,"FW,MF",Stuttgart,1993,0.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Stefan Kießling,de GER,"FW,MF",Leverkusen,1984,28.5,,,,,,,,,,,,,,,4,,,,2014,Germany
David Kinsombi,cd COD,"DF,MF",Eint Frankfurt,1995,1.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Oliver Kirch,de GER,"DF,MF",Dortmund,1982,4.8,,,,,,,,,,,,,,,1,,,,2014,Germany
Jan Kirchhoff,de GER,"DF,MF",Schalke 04,1990,9.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Thorsten Kirschbaum,de GER,GK,Stuttgart,1987,6,,,,,,,,,,,,,,,0,,,,2014,Germany
Sonny Kittel,de GER,"FW,MF",Eint Frankfurt,1993,7.4,,,,,,,,,,,,,,,1,,,,2014,Germany
Hiroshi Kiyotake,jp JPN,"FW,MF",Hannover 96,1989,28,,,,,,,,,,,,,,,5,,,,2014,Germany
Felix Klaus,de GER,"FW,MF",Freiburg,1992,24.6,,,,,,,,,,,,,,,2,,,,2014,Germany
Ragnar Klavan,ee EST,DF,Augsburg,1985,34,,,,,,,,,,,,,,,0,,,,2014,Germany
Florian Klein,at AUT,"DF,MF",Stuttgart,1986,32.8,,,,,,,,,,,,,,,2,,,,2014,Germany
Timm Klose,ch SUI,DF,Wolfsburg,1988,10.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Robin Knoche,de GER,DF,Wolfsburg,1992,25.5,,,,,,,,,,,,,,,0,,,,2014,Germany
Süleyman Koç,tr TUR,MF,Paderborn 07,1989,21.4,,,,,,,,,,,,,,,3,,,,2014,Germany
Julian Koch,de GER,"DF,MF",Mainz 05,1990,0.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Dominik Kohr,de GER,MF,Augsburg,1994,18.2,,,,,,,,,,,,,,,1,,,,2014,Germany
Sead Kola_inac,ba BIH,"DF,MF",Schalke 04,1993,5,,,,,,,,,,,,,,,0,,,,2014,Germany
Julian Korb,de GER,"DF,MF",M'Gladbach,1992,23.1,,,,,,,,,,,,,,,1,,,,2014,Germany
Filip Kosti_,rs SRB,"DF,FW",Stuttgart,1992,17.1,,,,,,,,,,,,,,,5,,,,2014,Germany
Thomas Kraft,de GER,GK,Hertha BSC,1988,31.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Christoph Kramer,de GER,MF,M'Gladbach,1991,27.9,,,,,,,,,,,,,,,1,,,,2014,Germany
Pavel Krma_,cz CZE,"DF,MF",Freiburg,1980,21.5,,,,,,,,,,,,,,,0,,,,2014,Germany
Felix Kroos,de GER,MF,Werder Bremen,1991,14.7,,,,,,,,,,,,,,,1,,,,2014,Germany
Lukas Kruse,de GER,GK,Paderborn 07,1983,34,,,,,,,,,,,,,,,0,,,,2014,Germany
Max Kruse,de GER,"FW,MF",M'Gladbach,1988,28.7,,,,,,,,,,,,,,,9,,,,2014,Germany
Robbie Kruse,au AUS,"FW,MF",Leverkusen,1988,0.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Sinan Kurt,tr TUR,"FW,MF",Bayern Munich,1996,0.5,,,,,,,,,,,,,,,0,,,,2014,Germany
Stefan Kutschke,de GER,FW,Paderborn 07,1988,9.3,,,,,,,,,,,,,,,1,,,,2014,Germany
Philipp Lahm,de GER,"DF,MF",Bayern Munich,1983,15.6,,,,,,,,,,,,,,,2,,,,2014,Germany
Sr_an Laki_,hr CRO,FW,Paderborn 07,1983,11.2,,,,,,,,,,,,,,,2,,,,2014,Germany
Mitchell Langerak,au AUS,GK,Dortmund,1988,9,,,,,,,,,,,,,,,0,,,,2014,Germany
Sebastian Langkamp,de GER,DF,Hertha BSC,1988,15.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Martin Lanig,de GER,MF,Eint Frankfurt,1984,1.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Pierre-Michel Lasogga,de GER,FW,Hamburger SV,1991,20.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Matthias Lehmann,de GER,MF,Köln,1983,31.6,,,,,,,,,,,,,,,1,,,,2014,Germany
Moritz Leitner,de GER,MF,Stuttgart,1992,12.2,,,,,,,,,,,,,,,1,,,,2014,Germany
Bernd Leno,de GER,GK,Leverkusen,1992,34,,,,,,,,,,,,,,,0,,,,2014,Germany
Robert Lewandowski,pl POL,FW,Bayern Munich,1988,27.6,,,,,,,,,,,,,,,5,,,,2014,Germany
Melvyn Lorenzen,ug UGA,"FW,MF",Werder Bremen,1994,1.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Assani Lukimya-Mulongoti,cd COD,DF,Werder Bremen,1986,19.4,,,,,,,,,,,,,,,2,,,,2014,Germany
Fabian Lustenberger,ch SUI,"DF,MF",Hertha BSC,1988,24.3,,,,,,,,,,,,,,,0,,,,2014,Germany
Alexander Madlung,de GER,DF,Eint Frankfurt,1982,15,,,,,,,,,,,,,,,0,,,,2014,Germany
Cédric Makiadi,cd COD,MF,Werder Bremen,1984,7.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Junior Malanda,be BEL,MF,Wolfsburg,1994,4.4,,,,,,,,,,,,,,,1,,,,2014,Germany
Yunus Mallı,tr TUR,"FW,MF",Mainz 05,1992,24.1,,,,,,,,,,,,,,,4,,,,2014,Germany
Alex Manninger,at AUT,GK,Augsburg,1977,9,,,,,,,,,,,,,,,0,,,,2014,Germany
Marcelo,br BRA,DF,Hannover 96,1987,34,,,,,,,,,,,,,,,0,,,,2014,Germany
Ronny Marcos,mz MOZ,"DF,MF",Hamburger SV,1993,7.5,,,,,,,,,,,,,,,0,,,,2014,Germany
Dominic Maroh,si SVN,DF,Köln,1987,26.3,,,,,,,,,,,,,,,0,,,,2014,Germany
Javi Martínez,es ESP,"DF,MF",Bayern Munich,1988,0.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Mitsuru Maruoka,jp JPN,MF,Dortmund,1996,0.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Tim Matav_,si SVN,FW,Augsburg,1989,5.8,,,,,,,,,,,,,,,1,,,,2014,Germany
Joël Matip,cm CMR,"DF,MF",Schalke 04,1991,17.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Ville Matti Steinmann,de GER,MF,Hamburger SV,1995,0,,,,,,,,,,,,,,,0,,,,2014,Germany
Adam Matuszczyk,pl POL,MF,Köln,1989,4.8,,,,,,,,,,,,,,,1,,,,2014,Germany
Mërgim Mavraj,al ALB,DF,Köln,1986,11.5,,,,,,,,,,,,,,,0,,,,2014,Germany
Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Schalke 04,1989,28.3,,,,,,,,,,,,,,,6,,,,2014,Germany
Alexandru Maxim,ro ROU,MF,Stuttgart,1990,16.1,,,,,,,,,,,,,,,6,,,,2014,Germany
Slobodan Medojevi_,rs SRB,MF,Eint Frankfurt,1990,8.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Alban Meha,xk KVX,MF,Paderborn 07,1986,13.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Admir Mehmedi,ch SUI,"FW,MF",Freiburg,1991,24.9,,,,,,,,,,,,,,,1,,,,2014,Germany
Alexander Meier,de GER,"FW,MF",Eint Frankfurt,1983,24.6,,,,,,,,,,,,,,,2,,,,2014,Germany
Max Meyer,de GER,"FW,MF",Schalke 04,1995,20.5,,,,,,,,,,,,,,,1,,,,2014,Germany
Stefan Mitrovi_,rs SRB,DF,Freiburg,1990,12.6,,,,,,,,,,,,,,,1,,,,2014,Germany
Henrikh Mkhitaryan,am ARM,MF,Dortmund,1989,21.3,,,,,,,,,,,,,,,4,,,,2014,Germany
Anthony Modeste,fr FRA,FW,Hoffenheim,1988,14.4,,,,,,,,,,,,,,,1,,,,2014,Germany
Sascha Mölders,de GER,FW,Augsburg,1985,3.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Christoph Moritz,de GER,MF,Mainz 05,1990,5.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Mensur Mujd_a,ba BIH,"DF,MF",Freiburg,1984,6.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Nicolai Müller,de GER,"FW,MF",Hamburger SV,1987,23.1,,,,,,,,,,,,,,,4,,,,2014,Germany
Thomas Müller,de GER,"FW,MF",Bayern Munich,1989,26.3,,,,,,,,,,,,,,,10,,,,2014,Germany
Mats Møller Dæhli,no NOR,MF,Freiburg,1995,2,,,,,,,,,,,,,,,0,,,,2014,Germany
Valmir Nafiu,mk MKD,"FW,MF",Hamburger SV,1994,0.3,,,,,,,,,,,,,,,0,,,,2014,Germany
Kazuki Nagasawa,jp JPN,MF,Köln,1991,4.3,,,,,,,,,,,,,,,0,,,,2014,Germany
Naldo,br BRA,DF,Wolfsburg,1982,32,,,,,,,,,,,,,,,2,,,,2014,Germany
Matija Nastasi_,rs SRB,DF,Schalke 04,1993,16,,,,,,,,,,,,,,,0,,,,2014,Germany
Marcel Ndjeng,cm CMR,MF,Hertha BSC,1982,12.3,,,,,,,,,,,,,,,2,,,,2014,Germany
Manuel Neuer,de GER,GK,Bayern Munich,1986,31.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Roman Neustädter,ru RUS,"DF,MF",Schalke 04,1988,26.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Georg Niedermeier,de GER,DF,Stuttgart,1986,18.7,,,,,,,,,,,,,,,1,,,,2014,Germany
Peter Niemeyer,de GER,"DF,MF",Hertha BSC,1983,10.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Håvard Nordtveit,no NOR,"DF,MF",M'Gladbach,1990,9.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Nikol_e Noveski,mk MKD,DF,Mainz 05,1979,6.6,,,,,,,,,,,,,,,1,,,,2014,Germany
Chinedu Obasi,ng NGA,FW,Schalke 04,1986,2.3,,,,,,,,,,,,,,,0,,,,2014,Germany
Ludovic Obraniak,pl POL,MF,Werder Bremen,1984,0.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Bastian Oczipka,de GER,"DF,MF",Eint Frankfurt,1989,28.6,,,,,,,,,,,,,,,5,,,,2014,Germany
Shinji Okazaki,jp JPN,"FW,MF",Mainz 05,1986,30.9,,,,,,,,,,,,,,,3,,,,2014,Germany
Ivica Oli_,hr CRO,FW,Wolfsburg,1979,10.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Ivica Oli_,hr CRO,FW,Hamburger SV,1979,14.4,,,,,,,,,,,,,,,0,,,,2014,Germany
Pawe_ Olkowski,pl POL,"DF,MF",Köln,1990,23.4,,,,,,,,,,,,,,,2,,,,2014,Germany
Yuya Osako,jp JPN,"FW,MF",Köln,1990,16.9,,,,,,,,,,,,,,,3,,,,2014,Germany
Matthias Ostrzolek,de GER,"DF,MF",Hamburger SV,1990,22.7,,,,,,,,,,,,,,,1,,,,2014,Germany
Idir Ouali,fr FRA,"FW,MF",Paderborn 07,1988,3.3,,,,,,,,,,,,,,,0,,,,2014,Germany
Levin Öztunalı,de GER,"FW,MF",Leverkusen,1996,1.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Levin Öztunalı,de GER,MF,Werder Bremen,1996,8.3,,,,,,,,,,,,,,,3,,,,2014,Germany
Christian Pander,de GER,DF,Hannover 96,1983,4.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Kyriakos Papadopoulos,gr GRE,"DF,MF",Leverkusen,1992,9.2,,,,,,,,,,,,,,,1,,,,2014,Germany
Sokratis Papastathopoulos,gr GRE,DF,Dortmund,1988,19.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Devante Parker,de GER,MF,Mainz 05,1996,0.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Shawn Parker,de GER,FW,Augsburg,1993,2.3,,,,,,,,,,,,,,,1,,,,2014,Germany
Peter Pekarík,sk SVK,DF,Hertha BSC,1986,29.4,,,,,,,,,,,,,,,1,,,,2014,Germany
Mirnes Pepi_,me MNE,MF,Paderborn 07,1995,0.3,,,,,,,,,,,,,,,0,,,,2014,Germany
João Pereira,pt POR,"DF,MF",Hannover 96,1984,4.5,,,,,,,,,,,,,,,0,,,,2014,Germany
Ivan Peri_i_,hr CRO,"FW,MF",Wolfsburg,1989,19.1,,,,,,,,,,,,,,,4,,,,2014,Germany
S_awomir Peszko,pl POL,MF,Köln,1985,11.1,,,,,,,,,,,,,,,1,,,,2014,Germany
Nils Petersen,de GER,FW,Freiburg,1988,5.6,,,,,,,,,,,,,,,1,,,,2014,Germany
Nils Petersen,de GER,FW,Werder Bremen,1988,2.5,,,,,,,,,,,,,,,1,,,,2014,Germany
Patrick Pflücke,de GER,MF,Mainz 05,1996,0.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Maximilian Philipp,de GER,"FW,MF",Freiburg,1994,12.9,,,,,,,,,,,,,,,2,,,,2014,Germany
Ronny Philp,de GER,DF,Augsburg,1989,0.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Lucas Piazon,br BRA,"FW,MF",Eint Frankfurt,1994,11.8,,,,,,,,,,,,,,,0,,,,2014,Germany
_ukasz Piszczek,pl POL,"DF,MF",Dortmund,1985,18.4,,,,,,,,,,,,,,,1,,,,2014,Germany
Claudio Pizarro,pe PER,FW,Bayern Munich,1978,3.7,,,,,,,,,,,,,,,1,,,,2014,Germany
Felix Platte,de GER,FW,Schalke 04,1996,0.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Marvin Plattenhardt,de GER,DF,Hertha BSC,1992,14.3,,,,,,,,,,,,,,,1,,,,2014,Germany
Eugen Polanski,pl POL,MF,Hoffenheim,1986,28.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Edgar Prib,de GER,MF,Hannover 96,1989,11.6,,,,,,,,,,,,,,,2,,,,2014,Germany
Sebastian Prödl,at AUT,"DF,MF",Werder Bremen,1987,19.3,,,,,,,,,,,,,,,1,,,,2014,Germany
Rafa,es ESP,"DF,MF",Paderborn 07,1985,15.4,,,,,,,,,,,,,,,0,,,,2014,Germany
Raffael,br BRA,"FW,MF",M'Gladbach,1985,26.3,,,,,,,,,,,,,,,2,,,,2014,Germany
Rafinha,br BRA,DF,Bayern Munich,1985,23.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Baba Rahman,gh GHA,DF,Augsburg,1994,29.7,,,,,,,,,,,,,,,4,,,,2014,Germany
Slobodan Rajkovi_,rs SRB,DF,Hamburger SV,1989,10.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Adrián Ramos,co COL,FW,Dortmund,1986,8,,,,,,,,,,,,,,,2,,,,2014,Germany
Konstantin Rausch,ru RUS,"DF,MF",Stuttgart,1990,0.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Pepe Reina,es ESP,GK,Bayern Munich,1982,2.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Stefan Reinartz,de GER,"DF,MF",Leverkusen,1989,10.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Marco Reus,de GER,MF,Dortmund,1989,17.4,,,,,,,,,,,,,,,5,,,,2014,Germany
Franck Ribéry,fr FRA,"FW,MF",Bayern Munich,1983,10.7,,,,,,,,,,,,,,,7,,,,2014,Germany
Sascha Riether,de GER,"DF,MF",Freiburg,1983,15.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Marcel Risse,de GER,"DF,FW",Köln,1989,25.1,,,,,,,,,,,,,,,3,,,,2014,Germany
Arjen Robben,nl NED,"FW,MF",Bayern Munich,1984,18.6,,,,,,,,,,,,,,,7,,,,2014,Germany
Sebastian Rode,de GER,MF,Bayern Munich,1990,10.8,,,,,,,,,,,,,,,5,,,,2014,Germany
Ricardo Rodríguez,ch SUI,DF,Wolfsburg,1992,25.4,,,,,,,,,,,,,,,4,,,,2014,Germany
Simon Rolfes,de GER,MF,Leverkusen,1982,13.7,,,,,,,,,,,,,,,1,,,,2014,Germany
Oriol Romeu,es ESP,MF,Stuttgart,1991,20.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Ronny,br BRA,"DF,MF",Hertha BSC,1986,10.4,,,,,,,,,,,,,,,2,,,,2014,Germany
Antonio Rüdiger,de GER,DF,Stuttgart,1993,17.8,,,,,,,,,,,,,,,1,,,,2014,Germany
Artjoms Rud_evs,lv LVA,FW,Hamburger SV,1988,10.5,,,,,,,,,,,,,,,3,,,,2014,Germany
Sebastian Rudy,de GER,MF,Hoffenheim,1990,24.9,,,,,,,,,,,,,,,3,,,,2014,Germany
Lukas Rupp,de GER,MF,Paderborn 07,1991,22.3,,,,,,,,,,,,,,,1,,,,2014,Germany
Marco Russ,de GER,"DF,MF",Eint Frankfurt,1985,24.7,,,,,,,,,,,,,,,3,,,,2014,Germany
Mahir Sa_lık,tr TUR,FW,Paderborn 07,1983,3.4,,,,,,,,,,,,,,,1,,,,2014,Germany
Nuri _ahin,tr TUR,MF,Dortmund,1988,6,,,,,,,,,,,,,,,0,,,,2014,Germany
G_toku Sakai,jp JPN,"DF,MF",Stuttgart,1991,16,,,,,,,,,,,,,,,1,,,,2014,Germany
Hiroki Sakai,jp JPN,"DF,MF",Hannover 96,1990,25.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Sejad Salihovi_,ba BIH,"DF,MF",Hoffenheim,1984,4.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Sidney Sam,de GER,"FW,MF",Schalke 04,1988,5.8,,,,,,,,,,,,,,,1,,,,2014,Germany
Jairo Samperio,es ESP,"FW,MF",Mainz 05,1993,12.3,,,,,,,,,,,,,,,2,,,,2014,Germany
Leroy Sané,de GER,"FW,MF",Schalke 04,1996,6.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Salif Sané,sn SEN,"DF,MF",Hannover 96,1990,16,,,,,,,,,,,,,,,0,,,,2014,Germany
Felipe Santana,br BRA,DF,Schalke 04,1986,3.4,,,,,,,,,,,,,,,0,,,,2014,Germany
Sercan Sararer,tr TUR,"FW,MF",Stuttgart,1989,4.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Marcel Schäfer,de GER,"DF,MF",Wolfsburg,1984,7.4,,,,,,,,,,,,,,,1,,,,2014,Germany
Dani Schahin,de GER,FW,Freiburg,1989,2.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Julian Schieber,de GER,FW,Hertha BSC,1989,14.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Sven Schipplock,de GER,FW,Hoffenheim,1988,9,,,,,,,,,,,,,,,0,,,,2014,Germany
Jan Schlaudraff,de GER,"FW,MF",Hannover 96,1983,0.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Marcel Schmelzer,de GER,DF,Dortmund,1988,21.3,,,,,,,,,,,,,,,2,,,,2014,Germany
Jonathan Schmid,fr FRA,"DF,MF",Freiburg,1990,31.4,,,,,,,,,,,,,,,8,,,,2014,Germany
Manuel Schmiedebach,de GER,MF,Hannover 96,1988,24.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Christian Schulz,de GER,"DF,MF",Hannover 96,1983,29.4,,,,,,,,,,,,,,,0,,,,2014,Germany
Nico Schulz,de GER,"DF,MF",Hertha BSC,1993,22.1,,,,,,,,,,,,,,,0,,,,2014,Germany
André Schürrle,de GER,"FW,MF",Wolfsburg,1990,7.4,,,,,,,,,,,,,,,2,,,,2014,Germany
Julian Schuster,de GER,MF,Freiburg,1985,17.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Daniel Schwaab,de GER,DF,Stuttgart,1988,26.1,,,,,,,,,,,,,,,1,,,,2014,Germany
Pirmin Schwegler,ch SUI,MF,Hoffenheim,1987,25,,,,,,,,,,,,,,,4,,,,2014,Germany
Bastian Schweinsteiger,de GER,"DF,MF",Bayern Munich,1984,15.1,,,,,,,,,,,,,,,4,,,,2014,Germany
Haris Seferovi_,ch SUI,FW,Eint Frankfurt,1992,31.6,,,,,,,,,,,,,,,6,,,,2014,Germany
Davie Selke,de GER,FW,Werder Bremen,1995,22,,,,,,,,,,,,,,,3,,,,2014,Germany
Xherdan Shaqiri,ch SUI,"FW,MF",Bayern Munich,1991,3.8,,,,,,,,,,,,,,,2,,,,2014,Germany
Petar Sli_kovi_,hr CRO,FW,Mainz 05,1991,0.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Artur Sobiech,pl POL,FW,Hannover 96,1990,6,,,,,,,,,,,,,,,1,,,,2014,Germany
Yann Sommer,ch SUI,GK,M'Gladbach,1988,34,,,,,,,,,,,,,,,0,,,,2014,Germany
Oliver Sorg,de GER,DF,Freiburg,1990,22.8,,,,,,,,,,,,,,,3,,,,2014,Germany
Elkin Soto,co COL,MF,Mainz 05,1980,4.7,,,,,,,,,,,,,,,1,,,,2014,Germany
Emir Spahi_,ba BIH,DF,Leverkusen,1980,20.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Marius Stankevi_ius,lt LTU,"DF,MF",Hannover 96,1981,0.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Marc Stendera,de GER,MF,Eint Frankfurt,1995,20.4,,,,,,,,,,,,,,,5,,,,2014,Germany
Janek Sternberg,de GER,DF,Werder Bremen,1992,11.3,,,,,,,,,,,,,,,0,,,,2014,Germany
Zoltán Stieber,hu HUN,"FW,MF",Hamburger SV,1988,17.1,,,,,,,,,,,,,,,2,,,,2014,Germany
Lars Stindl,de GER,"FW,MF",Hannover 96,1988,20,,,,,,,,,,,,,,,3,,,,2014,Germany
Valentin Stocker,ch SUI,MF,Hertha BSC,1989,20.6,,,,,,,,,,,,,,,4,,,,2014,Germany
Moritz Stoppelkamp,de GER,"FW,MF",Paderborn 07,1986,24.2,,,,,,,,,,,,,,,2,,,,2014,Germany
Martin Stranzl,at AUT,"DF,MF",M'Gladbach,1980,17.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Richard Strebinger,at AUT,GK,Werder Bremen,1993,1.4,,,,,,,,,,,,,,,0,,,,2014,Germany
Rico Strieder,de GER,MF,Bayern Munich,1992,1,,,,,,,,,,,,,,,0,,,,2014,Germany
Tobias Strobl,de GER,"DF,MF",Hoffenheim,1990,27.1,,,,,,,,,,,,,,,1,,,,2014,Germany
Christian Strohdiek,de GER,DF,Paderborn 07,1988,17.9,,,,,,,,,,,,,,,0,,,,2014,Germany
Neven Suboti_,rs SRB,DF,Dortmund,1988,25.3,,,,,,,,,,,,,,,0,,,,2014,Germany
Niklas Süle,de GER,DF,Hoffenheim,1995,14.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Du_an _vento,sk SVK,"DF,MF",Köln,1985,11.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Ádám Szalai,hu HUN,FW,Hoffenheim,1987,14.7,,,,,,,,,,,,,,,4,,,,2014,Germany
Stefan Thesker,de GER,DF,Hannover 96,1991,1.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Erik Thommy,de GER,MF,Augsburg,1994,0.4,,,,,,,,,,,,,,,0,,,,2014,Germany
Jeremy Toljan,de GER,DF,Hoffenheim,1994,4.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Ömer Toprak,tr TUR,DF,Leverkusen,1989,27.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Marc Torrejón,es ESP,DF,Freiburg,1986,16.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Ibrahima Traoré,gn GUI,MF,M'Gladbach,1988,9.5,,,,,,,,,,,,,,,1,,,,2014,Germany
Kevin Trapp,de GER,GK,Eint Frankfurt,1990,22,,,,,,,,,,,,,,,0,,,,2014,Germany
Christian Träsch,de GER,"DF,MF",Wolfsburg,1987,8.1,,,,,,,,,,,,,,,0,,,,2014,Germany
Atsuto Uchida,jp JPN,DF,Schalke 04,1988,18.6,,,,,,,,,,,,,,,3,,,,2014,Germany
Anthony Ujah,ng NGA,FW,Köln,1990,26,,,,,,,,,,,,,,,3,,,,2014,Germany
Sven Ulreich,de GER,GK,Stuttgart,1988,28,,,,,,,,,,,,,,,0,,,,2014,Germany
Nelson Valdez,py PAR,FW,Eint Frankfurt,1983,5.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Paul Verhaegh,nl NED,DF,Augsburg,1983,26,,,,,,,,,,,,,,,1,,,,2014,Germany
Jannik Vestergaard,dk DEN,DF,Werder Bremen,1992,14.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Jannik Vestergaard,dk DEN,DF,Hoffenheim,1992,1.8,,,,,,,,,,,,,,,0,,,,2014,Germany
Vieirinha,pt POR,"DF,FW",Wolfsburg,1986,25.6,,,,,,,,,,,,,,,5,,,,2014,Germany
Kevin Vogt,de GER,"DF,MF",Köln,1991,29.9,,,,,,,,,,,,,,,3,,,,2014,Germany
Kevin Volland,de GER,"FW,MF",Hoffenheim,1992,29.6,,,,,,,,,,,,,,,5,,,,2014,Germany
Mario Vran_i_,ba BIH,MF,Paderborn 07,1989,23.5,,,,,,,,,,,,,,,1,,,,2014,Germany
Marc Vucinovic,de GER,MF,Paderborn 07,1988,3.6,,,,,,,,,,,,,,,0,,,,2014,Germany
Sandro Wagner,de GER,FW,Hertha BSC,1987,3,,,,,,,,,,,,,,,0,,,,2014,Germany
Luca Waldschmidt,de GER,FW,Eint Frankfurt,1996,1.2,,,,,,,,,,,,,,,0,,,,2014,Germany
Roman Weidenfeller,de GER,GK,Dortmund,1980,25,,,,,,,,,,,,,,,0,,,,2014,Germany
Mitchell Weiser,de GER,"DF,MF",Bayern Munich,1994,8.7,,,,,,,,,,,,,,,0,,,,2014,Germany
Timon Wellenreuther,de GER,GK,Schalke 04,1995,7.5,,,,,,,,,,,,,,,0,,,,2014,Germany
Jens Wemmer,de GER,MF,Paderborn 07,1985,16.6,,,,,,,,,,,,,,,1,,,,2014,Germany
Wendell,br BRA,DF,Leverkusen,1993,25,,,,,,,,,,,,,,,1,,,,2014,Germany
Oscar Wendt,se SWE,"DF,MF",M'Gladbach,1985,25.5,,,,,,,,,,,,,,,1,,,,2014,Germany
