player,nation,pos,squad,born,90s,cmp_total,att_total,cmp_perc_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_perc_short,cmp_medium,att_medium,cmp_perc_medium,cmp_long,att_long,cmp_perc_long,ast,ppa,crs_pa,prog,year,league 
Nils Petersen,de GER,FW,Freiburg,1988,4.8,51,76,67.1,564,127,37,48,77.1,7,15,46.7,1,3,33.3,0,0,0,3,2020,Germany
Maximilian Philipp,de GER,MF,Wolfsburg,1994,1.7,35,52,67.3,524,119,22,27,81.5,12,21,57.1,1,4,25,1,1,0,1,2020,Germany
Krzysztof Pi_tek,pl POL,"FW,MF",Hertha BSC,1995,1.7,19,29,65.5,273,21,10,16,62.5,8,10,80,1,1,100,1,1,0,2,2020,Germany
Amos Pieper,de GER,DF,Arminia,1998,6,303,368,82.3,7362,1940,57,68,83.8,171,186,91.9,71,109,65.1,0,4,0,20,2020,Germany
_ukasz Piszczek,pl POL,DF,Dortmund,1985,0.3,17,21,81,316,123,5,6,83.3,10,13,76.9,1,1,100,0,1,0,1,2020,Germany
Marvin Plattenhardt,de GER,DF,Hertha BSC,1992,1.2,83,105,79,1756,786,24,26,92.3,47,53,88.7,11,23,47.8,0,2,1,7,2020,Germany
Alassane Pléa,fr FRA,FW,M'Gladbach,1993,3.5,105,146,71.9,1909,457,49,64,76.6,36,47,76.6,17,21,81,0,6,3,13,2020,Germany
Joel Pohjanpalo,fi FIN,FW,Union Berlin,1994,2,28,40,70,454,103,18,24,75,8,11,72.7,2,4,50,0,0,0,4,2020,Germany
Joel Pohjanpalo,fi FIN,MF,Leverkusen,1994,0.1,2,2,100,37,0,0,0,,2,2,100,0,0,,0,0,0,0,2020,Germany
Stefan Posch,at AUT,DF,Hoffenheim,1997,4.2,191,249,76.7,4111,1665,66,77,85.7,94,104,90.4,31,57,54.4,0,1,1,19,2020,Germany
Yussuf Poulsen,dk DEN,"FW,MF",RB Leipzig,1994,2.6,62,81,76.5,924,259,31,41,75.6,24,30,80,3,4,75,1,4,0,10,2020,Germany
Manuel Prietl,at AUT,MF,Arminia,1991,6,195,232,84.1,4056,801,68,81,84,82,90,91.1,41,52,78.8,0,2,0,12,2020,Germany
