player,nation,pos,squad,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,year,league
Robert Tesche,de GER,MF,Hamburger SV,1987,12.2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Bjarne Thoelke,de GER,DF,Wolfsburg,1992,4.1,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Lennart Thy,de GER,FW,Werder Bremen,1992,1.7,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Christian Tiffert,de GER,MF,Kaiserslautern,1982,29.6,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Ömer Toprak,tr TUR,DF,Leverkusen,1989,25.3,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Gökhan Töre,tr TUR,"FW,MF",Hamburger SV,1992,16.4,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Tunay Torun,tr TUR,"FW,MF",Hertha BSC,1990,9.5,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Ibrahima Traoré,gn GUI,MF,Stuttgart,1988,2.9,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Kevin Trapp,de GER,GK,Kaiserslautern,1990,23,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Christian Träsch,de GER,"DF,MF",Wolfsburg,1987,29.2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Florian Trinks,de GER,MF,Werder Bremen,1992,2.8,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Tom Trybull,de GER,"DF,MF",Werder Bremen,1993,12.2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Anatoliy Tymoshchuk,ua UKR,"DF,MF",Bayern Munich,1979,17.3,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Atsuto Uchida,jp JPN,DF,Schalke 04,1988,16,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Anthony Ujah,ng NGA,FW,Mainz 05,1990,4.3,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Sven Ulreich,de GER,GK,Stuttgart,1988,34,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Lars Unnerstall,de GER,GK,Schalke 04,1990,20.2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Takashi Usami,jp JPN,"FW,MF",Bayern Munich,1992,1.9,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Daniel Van Buyten,be BEL,DF,Bayern Munich,1978,11.7,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Miro Varvodić,hr CRO,GK,Köln,1989,2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Paul Verhaegh,nl NED,DF,Augsburg,1983,25.9,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Gil Vermouth,il ISR,MF,Kaiserslautern,1985,0.5,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Jannik Vestergaard,dk DEN,DF,Hoffenheim,1992,19.7,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Vieirinha,pt POR,"DF,FW",Wolfsburg,1986,5.7,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Isaac Vorsah,gh GHA,"DF,MF",Hoffenheim,1988,19.1,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Boris Vukčević,de GER,MF,Hoffenheim,1990,14.8,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Sandro Wagner,de GER,FW,Werder Bremen,1987,1.6,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Sandro Wagner,de GER,FW,Kaiserslautern,1987,9,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Clemens Walch,at AUT,MF,Kaiserslautern,1987,2.4,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Roman Weidenfeller,de GER,GK,Dortmund,1980,32,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Tobias Weis,de GER,MF,Hoffenheim,1985,10.5,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Mitchell Weiser,de GER,"DF,MF",Köln,1994,0.2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Oscar Wendt,se SWE,"DF,MF",M'Gladbach,1985,5.9,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Tobias Werner,de GER,MF,Augsburg,1985,12.6,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Wesley,br BRA,MF,Werder Bremen,1987,2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Heiko Westermann,de GER,"DF,MF",Hamburger SV,1983,33,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Christian Wetklo,de GER,GK,Mainz 05,1980,22,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Tim Wiese,de GER,GK,Werder Bremen,1981,27.2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Sandro Wieser,li LIE,MF,Hoffenheim,1993,0.3,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Julian Wießmeier,de GER,"FW,MF",Nürnberg,1992,2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Danny Williams,us USA,"DF,MF",Freiburg,1989,1,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Danny Williams,us USA,"DF,MF",Hoffenheim,1989,17.6,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Pierre de Wit,de GER,MF,Kaiserslautern,1987,20.2,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Andreas Wolf,de GER,DF,Werder Bremen,1982,13.6,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Philipp Wollscheid,de GER,DF,Nürnberg,1989,32.4,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Andrew Wooten,us USA,"FW,MF",Kaiserslautern,1989,3.4,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Didier Ya Konan,ci CIV,"FW,MF",Hannover 96,1984,19.5,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Antar Yahia,dz ALG,DF,Kaiserslautern,1982,9.4,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Samed Yeşil,de GER,FW,Leverkusen,1994,0.1,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Deniz Yılmaz,tr TUR,FW,Mainz 05,2000,0.8,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Amin Younes,de GER,"FW,MF",M'Gladbach,1993,0.1,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Radoslav Zabavník,sk SVK,"DF,MF",Mainz 05,1980,13.5,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Steven Zellner,de GER,"FW,MF",Kaiserslautern,1991,0.1,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Mohamed Zidan,eg EGY,FW,Dortmund,1981,0.4,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Mohamed Zidan,eg EGY,FW,Mainz 05,1981,10,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Ron-Robert Zieler,de GER,GK,Hannover 96,1989,34,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Matthias Zimmermann,de GER,"DF,MF",M'Gladbach,1992,0.1,,,,,,,,,,,,,,,,,,,,,0,,,2011,German
Mohammed Abdellaoue,no NOR,FW,Hannover 96,1985,23.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Yacine Abdessadki,ma MAR,MF,Freiburg,1981,19.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mathias Abel,de GER,DF,Kaiserslautern,1981,18.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
René Adler,de GER,GK,Leverkusen,1985,32,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
David Alaba,at AUT,"DF,MF",Hoffenheim,1992,17,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
David Alaba,at AUT,"DF,MF",Bayern Munich,1992,0.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Sami Allagui,tn TUN,"FW,MF",Mainz 05,1986,17.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Hugo Almeida,pt POR,FW,Werder Bremen,1984,7.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Halil Altıntop,tr TUR,"FW,MF",Eint Frankfurt,1982,26.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Hamit Altıntop,tr TUR,"DF,MF",Bayern Munich,1982,8.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Caio Alves,br BRA,MF,Eint Frankfurt,1986,14.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Ioannis Amanatidis,gr GRE,"FW,MF",Eint Frankfurt,1981,7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Martin Amedick,de GER,DF,Kaiserslautern,1982,23.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Chadli Amri,dz ALG,"FW,MF",Kaiserslautern,1984,2.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Andrezinho,br BRA,DF,Köln,1981,6.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Anthony Annan,gh GHA,MF,Schalke 04,1986,7.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Dennis Aogo,de GER,"DF,MF",Hamburger SV,1987,19.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Juan Arango,ve VEN,MF,M'Gladbach,1980,22.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Marko Arnautović,at AUT,"FW,MF",Werder Bremen,1989,17.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Gerald Asamoah,de GER,"FW,MF",St. Pauli,1978,21,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Johan Audel,mq MTQ,"FW,MF",Stuttgart,1983,0.9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Renato Augusto,br BRA,MF,Leverkusen,1988,24.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Denni Avdić,se SWE,"FW,MF",Werder Bremen,1988,1.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Danilo Avelar,br BRA,"DF,MF",Schalke 04,1989,2.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Christopher Avevor,de GER,"DF,MF",Hannover 96,1992,3.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Onur Ayık,tr TUR,"FW,MF",Werder Bremen,1990,0.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Demba Ba,sn SEN,FW,Hoffenheim,1985,14.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Haruna Babangida,ng NGA,"FW,MF",Mainz 05,1982,0.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Ryan Babel,nl NED,"FW,MF",Hoffenheim,1986,14.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Holger Badstuber,de GER,DF,Bayern Munich,1989,20.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mamadou Bah,gn GUI,MF,Stuttgart,1988,1.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Logan Bailly,be BEL,GK,M'Gladbach,1985,15,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Hanno Balitsch,de GER,MF,Leverkusen,1981,10.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Michael Ballack,de GER,MF,Leverkusen,1976,13.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Leon Balogun,ng NGA,DF,Werder Bremen,1988,0.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Anderson Bamba,br BRA,DF,M'Gladbach,1988,11.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Ivica Banović,hr CRO,MF,Freiburg,1980,1.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Philipp Bargfrede,de GER,MF,Werder Bremen,1989,21.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Tranquillo Barnetta,ch SUI,MF,Leverkusen,1985,16.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Lucas Barrios,py PAR,FW,Dortmund,1984,27.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Fin Bartels,de GER,"FW,MF",St. Pauli,1987,24.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Oliver Barth,de GER,DF,Freiburg,1979,27.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Andrea Barzagli,it ITA,DF,Wolfsburg,1981,16.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Felix Bastians,de GER,"DF,MF",Freiburg,1988,29,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Oliver Baumann,de GER,GK,Freiburg,1990,30,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Alexander Baumjohann,de GER,MF,Schalke 04,1987,4.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
DaMarcus Beasley,us USA,"DF,FW",Hannover 96,1982,0.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Andreas Beck,de GER,"DF,MF",Hoffenheim,1987,32.9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Shqipon Bektasi,de GER,"FW,MF",Freiburg,1990,0,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Nassim Ben Khalifa,ch SUI,"FW,MF",Nürnberg,1992,0.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Diego Benaglio,ch SUI,GK,Wolfsburg,1983,27.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Lars Bender,de GER,"DF,MF",Leverkusen,1989,13.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Sven Bender,de GER,"DF,MF",Dortmund,1989,27.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Abdelkarim Benhenia,ma MAR,FW,Hamburger SV,1985,11.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Collin Benjamin,na NAM,"DF,MF",Hamburger SV,1978,3.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Muhamed Bešić,ba BIH,"DF,MF",Hamburger SV,1992,2.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Ermin Bičakčić,ba BIH,DF,Stuttgart,1990,0.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Pascal Bieler,de GER,DF,Nürnberg,1986,3.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Jiří Bílek,cz CZE,"DF,MF",Kaiserslautern,1983,12.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Isaac Boakye,gh GHA,FW,Nürnberg,1981,0.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Raúl Bobadilla,py PAR,FW,M'Gladbach,1987,9.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Sebastian Boenisch,pl POL,DF,Werder Bremen,1987,1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Arthur Boka,ci CIV,DF,Stuttgart,1983,18,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Fabian Boll,de GER,MF,St. Pauli,1979,23.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mark van Bommel,nl NED,MF,Bayern Munich,1977,12.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Breno Borges,br BRA,DF,Bayern Munich,1989,8.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Tim Borowski,de GER,MF,Werder Bremen,1980,8.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Khalid Boulahrouz,nl NED,DF,Stuttgart,1981,13.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Edson Braafheid,nl NED,DF,Hoffenheim,1983,8.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Edson Braafheid,nl NED,DF,Bayern Munich,1983,1.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Michael Bradley,us USA,MF,M'Gladbach,1987,17.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mišo Brečko,si SVN,"DF,MF",Köln,1984,27.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Roel Brouwers,nl NED,DF,M'Gladbach,1981,9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Florian Bruns,de GER,MF,St. Pauli,1979,13,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Alexander Bugera,de GER,DF,Kaiserslautern,1978,10.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Niko Bungert,de GER,DF,Mainz 05,1986,25.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Albert Bunjaku,xk KVX,FW,Nürnberg,1983,2.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Heiko Butscher,de GER,DF,Freiburg,1980,21.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Hans-Jörg Butt,de GER,GK,Bayern Munich,1974,22.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Jakub Błaszczykowski,pl POL,MF,Dortmund,1985,17,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Cacau,de GER,FW,Stuttgart,1981,23.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Daniel Caligiuri,it ITA,"DF,MF",Freiburg,1988,11.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Marco Caligiuri,de GER,"DF,MF",Mainz 05,1984,18,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Jan-Ingwer Callsen-Bracker,de GER,DF,M'Gladbach,1984,3.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Igor de Camargo,be BEL,"FW,MF",M'Gladbach,1983,13.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mauro Camoranesi,it ITA,MF,Stuttgart,1976,2.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Carlitos,pt POR,"FW,MF",Hannover 96,1982,1.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Gonzalo Castro,de GER,"DF,MF",Leverkusen,1987,19,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Stefano Celozzi,de GER,DF,Stuttgart,1988,5.9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Sofian Chahed,tn TUN,"DF,MF",Hannover 96,1983,4.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Timothy Chandler,us USA,"DF,MF",Nürnberg,1990,11.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Angelos Charisteas,gr GRE,FW,Schalke 04,1980,1.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Steve Cherundolo,us USA,DF,Hannover 96,1979,31.9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Adil Chihi,ma MAR,"FW,MF",Köln,1988,6.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Chris,br BRA,"DF,MF",Eint Frankfurt,1978,5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Tolga Ciğerci,tr TUR,MF,Wolfsburg,1992,4.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Papiss Cissé,sn SEN,FW,Freiburg,1985,31.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Ricardo Clark,us USA,MF,Eint Frankfurt,1983,6.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Christian Clemens,de GER,"FW,MF",Köln,1991,21.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Almog Cohen,il ISR,MF,Nürnberg,1988,16.9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Marvin Compper,de GER,DF,Hoffenheim,1985,31.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Diego Contento,de GER,DF,Bayern Munich,1990,12.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Filip Daems,be BEL,DF,M'Gladbach,1978,34,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Dante,br BRA,DF,M'Gladbach,1983,17.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Dennis Daube,de GER,MF,St. Pauli,1989,8.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Ciprian Deac,ro ROU,"FW,MF",Schalke 04,1986,1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Dedê,br BRA,DF,Dortmund,1978,0.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Philipp Degen,ch SUI,"DF,FW",Stuttgart,1983,3.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Ashkan Dejagah,ir IRN,"FW,MF",Wolfsburg,1986,12,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Matthieu Delpierre,fr FRA,DF,Stuttgart,1981,13.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Guy Demel,ci CIV,"DF,MF",Hamburger SV,1981,18.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Martín Demichelis,ar ARG,"DF,MF",Bayern Munich,1980,3.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Eren Derdiyok,ch SUI,FW,Leverkusen,1988,21.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Florian Dick,de GER,DF,Kaiserslautern,1984,24.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Daniel Didavi,de GER,"FW,MF",Stuttgart,1990,3.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Diego,br BRA,MF,Wolfsburg,1985,29.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Dennis Diekmeier,de GER,"DF,MF",Hamburger SV,1989,7.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Constant Djakpa,ci CIV,DF,Hannover 96,1986,6.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Julian Draxler,de GER,"FW,MF",Schalke 04,1993,5.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Jaroslav Drobný,cz CZE,GK,Hamburger SV,1979,4.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Julian Dudda,de GER,DF,Eint Frankfurt,1993,1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Duncan,dk DEN,FW,Mainz 05,1985,2.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Edin Džeko,ba BIH,FW,Wolfsburg,1986,16.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Marius Ebbers,de GER,FW,St. Pauli,1978,22.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Davidson Eden,gh GHA,DF,St. Pauli,1988,0.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Edu,br BRA,FW,Schalke 04,1981,16.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Marcel Eger,de GER,DF,St. Pauli,1983,5.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mario Eggimann,ch SUI,DF,Hannover 96,1981,7.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Fabrice Ehret,fr FRA,"DF,MF",Köln,1979,15.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Christian Eichner,de GER,DF,Hoffenheim,1982,2.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Christian Eichner,de GER,DF,Köln,1982,16.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Christian Eigler,de GER,FW,Nürnberg,1984,22.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mehmet Ekici,tr TUR,MF,Nürnberg,1990,27.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Eljero Elia,nl NED,"FW,MF",Hamburger SV,1987,18.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Élson,br BRA,MF,Stuttgart,1981,2.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Sergio Escudero,es ESP,"DF,MF",Schalke 04,1989,4.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Ralf Fährmann,de GER,GK,Eint Frankfurt,1988,14.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Jefferson Farfán,pe PER,"FW,MF",Schalke 04,1984,25.9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Malik Fathi,de GER,DF,Mainz 05,1983,15.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Martin Fenin,cz CZE,FW,Eint Frankfurt,1987,9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Markus Feulner,de GER,MF,Dortmund,1982,0.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Michael Fink,de GER,MF,M'Gladbach,1982,3.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Roberto Firmino,br BRA,"FW,MF",Hoffenheim,1991,5.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Johannes Flum,de GER,MF,Freiburg,1987,9.9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mikael Forssell,fi FIN,FW,Hannover 96,1981,2.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mike Frantz,de GER,"FW,MF",Nürnberg,1986,8.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Maik Franz,de GER,DF,Eint Frankfurt,1981,21.9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Sebastian Freis,de GER,"FW,MF",Köln,1985,7.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Arne Friedrich,de GER,DF,Wolfsburg,1979,14.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Manuel Friedrich,de GER,DF,Leverkusen,1979,16.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Torsten Frings,de GER,MF,Werder Bremen,1976,31.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Clemens Fritz,de GER,"DF,MF",Werder Bremen,1980,28.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Florian Fromlowitz,de GER,GK,Hannover 96,1986,19.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Christian Fuchs,at AUT,"DF,MF",Mainz 05,1986,29.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Danny Fuchs,de GER,"FW,MF",Kaiserslautern,1976,0.2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Patrick Funk,de GER,"DF,MF",Stuttgart,1990,5.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mario Gavranović,ch SUI,FW,Schalke 04,1989,3.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Timo Gebhart,de GER,MF,Stuttgart,1989,16.6,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Theofanis Gekas,gr GRE,FW,Eint Frankfurt,1980,30.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Christian Gentner,de GER,MF,Stuttgart,1985,22.8,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Pedro Geromel,br BRA,DF,Köln,1985,26.9,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Fabian Giefer,de GER,GK,Leverkusen,1990,2,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mario Gómez,de GER,FW,Bayern Munich,1985,27.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Eugen Gopko,de GER,"DF,MF",Mainz 05,1991,0.4,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Mario Götze,de GER,"FW,MF",Dortmund,1992,28.1,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Grafite,br BRA,FW,Wolfsburg,1979,20.5,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Kevin Großkreutz,de GER,"DF,FW",Dortmund,1988,28.7,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
Paolo Guerrero,pe PER,FW,Hamburger SV,1984,17.3,,,,,,,,,,,,,,,,,,,,,0,,,2010,German
