player,nation,pos,squad,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_vs_dribbles,att_vs_dribbles,tkl_perc_vs_dribbles,past_vs_dribbles,press,succ,percent,def_3rd_pressures,mid_3rd_pressures,att_3rd_pressures,blocks,sh_blocks,shsv_blocks,pass_blocks,int,tkl_and_int,clr,err,year,league
Joscha Wosz,de GER,FW,RB Leipzig,2002,0.1,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,1,0,0,1,0,0,0,0,2020,German
Reinhold Yabo,de GER,"FW,MF",Arminia,1992,0.4,1,1,0,0,1,0,0,,0,5,3,60,1,1,3,1,0,0,1,0,1,1,0,2020,German
Amin Younes,de GER,"DF,MF",Eint Frankfurt,1993,1.1,2,2,0,1,1,1,1,100,0,24,4,16.7,4,14,6,1,0,0,1,1,3,0,0,2020,German
Deyovaisio Zeefuik,nl NED,"DF,MF",Hertha BSC,1998,2,5,4,4,0,1,1,6,16.7,5,45,14,31.1,23,15,7,6,0,0,6,1,6,7,0,2020,German
Robin Zentner,de GER,GK,Mainz 05,1994,6,0,0,0,0,0,0,1,0,1,2,1,50,2,0,0,0,0,0,0,0,0,0,1,2020,German
Ron-Robert Zieler,de GER,GK,Köln,1989,0.6,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,2020,German
Joshua Zirkzee,nl NED,FW,Bayern Munich,2001,1,0,0,0,0,0,0,2,0,2,12,3,25,1,4,7,0,0,0,0,0,0,0,0,2020,German
Steven Zuber,ch SUI,DF,Eint Frankfurt,1991,4.2,17,10,7,8,2,3,11,27.3,8,68,24,35.3,22,33,13,4,2,0,2,0,17,1,0,2020,German
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,1996,1.7,1,1,1,0,0,1,3,33.3,2,25,9,36,9,11,5,3,1,0,2,1,2,2,0,2019,German
David Abraham,ar ARG,DF,Eint Frankfurt,1986,18.8,30,22,18,10,2,16,34,47.1,18,200,75,37.5,109,78,13,32,15,1,17,16,46,87,1,2019,German
Amir Abrashi,al ALB,MF,Freiburg,1990,7.4,23,13,11,11,1,7,17,41.2,10,164,41,25,68,82,14,19,3,0,16,8,31,15,1,2019,German
Tyler Adams,us USA,"DF,MF",RB Leipzig,1999,10.6,23,12,13,8,2,9,30,30,21,194,60,30.9,79,88,27,22,1,0,21,7,30,16,0,2019,German
