player,nation,pos,squad,born,90s,gls,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk,pk_att,year,league
Héctor Bellerín,es ESP,DF,Arsenal,1995,7,0,1,1,100,0.14,0.14,0,0,14.1,0,0,0,2020,English
Saïd Benrahma,dz ALG,MF,West Ham,1995,0,0,0,0,,0,0,,,,0,0,0,2020,English
Christian Benteke,be BEL,"FW,MF",Crystal Palace,1990,0.2,0,0,0,,0,0,,,,0,0,0,2020,English
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,1990,1.9,0,3,2,66.7,1.55,1.03,0,0,25.5,1,0,0,2020,English
Sander Berge,no NOR,MF,Sheffield Utd,1998,6.2,1,5,1,20,0.81,0.16,0,0,17.8,0,1,1,2020,English
Steven Bergwijn,nl NED,FW,Tottenham,1997,1.7,0,2,0,0,1.17,0,0,,19,0,0,0,2020,English
Bernard,br BRA,"MF,FW",Everton,1992,0.8,0,0,0,,0,0,,,,0,0,0,2020,English
Bernardo,br BRA,DF,Brighton,1995,0.3,0,0,0,,0,0,,,,0,0,0,2020,English
Ryan Bertrand,eng ENG,DF,Southampton,1989,6.9,0,1,1,100,0.15,0.15,0,0,14.8,0,0,0,2020,English
Yves Bissouma,ml MLI,MF,Brighton,1996,7,1,14,1,7.1,2.01,0.14,0.07,1,23.7,1,0,0,2020,English
Willy Boly,fr FRA,DF,Wolves,1991,7,0,3,0,0,0.43,0,0,,10,0,0,0,2020,English
Jarrod Bowen,eng ENG,"MF,FW",West Ham,1996,6.6,3,12,3,25,1.83,0.46,0.25,1,15.4,0,0,0,2020,English
Robbie Brady,ie IRL,"MF,FW",Burnley,1992,1.9,0,2,1,50,1.07,0.53,0,0,13.1,0,0,0,2020,English
Rhian Brewster,eng ENG,FW,Sheffield Utd,2000,1.9,0,2,1,50,1.06,0.53,0,0,13.9,0,0,0,2020,English
Josh Brownhill,eng ENG,MF,Burnley,1995,7,0,7,0,0,1,0,0,,20.1,3,0,0,2020,English
Joe Bryan,eng ENG,"DF,FW",Fulham,1993,3.7,0,3,1,33.3,0.8,0.27,0,0,24.7,1,0,0,2020,English
Oliver Burke,sco SCO,FW,Sheffield Utd,1997,2.8,0,4,0,0,1.41,0,0,,15.4,0,0,0,2020,English
Dan Burn,eng ENG,DF,Brighton,1992,4.3,0,3,0,0,0.7,0,0,,16.6,0,0,0,2020,English
Oskar Buur,dk DEN,DF,Wolves,1998,0.2,0,0,0,,0,0,,,,0,0,0,2020,English
Willy Caballero,ar ARG,GK,Chelsea,1981,1,0,0,0,,0,0,,,,0,0,0,2020,English
Gary Cahill,eng ENG,DF,Crystal Palace,1985,1,0,0,0,,0,0,,,,0,0,0,2020,English
Tom Cairney,sco SCO,MF,Fulham,1991,6,1,7,3,42.9,1.17,0.5,0.14,0.33,22,0,0,0,2020,English
Dominic Calvert-Lewin,eng ENG,FW,Everton,1997,6.8,8,24,14,58.3,3.55,2.07,0.33,0.57,10.8,0,0,0,2020,English
João Cancelo,pt POR,"DF,MF",Manchester City,1994,3,0,2,0,0,0.67,0,0,,25.3,0,0,0,2020,English
