player,nation,pos,squad,born,90s,gls,sh,sot,sot_perc,sh_per_90,sot_per_90,g_per_Sh,g_per_sot,dist,fk,pk,pk_att,year,league
Olivier Boscagli,fr FRA,"DF,MF",Nice,1997,8.6,1,,1,,,0.12,,1,,,0,0,2015,French
Gabriel Boschilia,br BRA,MF,Monaco,1996,1.7,0,,0,,,0,,,,,0,0,2015,French
Denis Bouanga,ga GAB,"FW,MF",Lorient,1994,2.2,1,,1,,,0.46,,1,,,0,0,2015,French
Ryad Boudebouz,dz ALG,"MF,FW",Montpellier,1990,36,2,,10,,,0.28,,0.2,,,0,0,2015,French
Sofiane Boufal,ma MAR,"FW,MF",Lille,1993,25.9,11,,23,,,0.89,,0.39,,,2,2,2015,French
Arnold Bouka Moutou,cg CGO,"DF,FW",Angers,1988,13.9,2,,4,,,0.29,,0.5,,,0,0,2015,French
Grégory Bourillon,fr FRA,"MF,DF",Angers,1984,5.7,1,,1,,,0.18,,1,,,0,0,2015,French
Khalid Boutaïb,ma MAR,FW,Gazélec Ajaccio,1987,21.4,6,,20,,,0.93,,0.3,,,0,0,2015,French
Martin Braithwaite,dk DEN,FW,Toulouse,1991,32.6,11,,42,,,1.29,,0.21,,,2,3,2015,French
Brandão,br BRA,FW,Bastia,1980,20.4,3,,10,,,0.49,,0.3,,,0,0,2015,French
Jérémie Bréchet,fr FRA,DF,Gazélec Ajaccio,1979,21.5,0,,0,,,0,,,,,0,0,2015,French
Jimmy Briand,fr FRA,FW,Guingamp,1985,32.6,7,,23,,,0.71,,0.3,,,0,0,2015,French
Jonathan Brison,fr FRA,DF,Saint-Étienne,1983,4.9,0,,0,,,0,,,,,0,0,2015,French
Frédéric Bulot,ga GAB,"MF,FW",Reims,1990,11.3,1,,7,,,0.62,,0.14,,,0,0,2015,French
Ludovic Butelle,fr FRA,GK,Angers,1983,19,0,,0,,,0,,,,,0,0,2015,French
Rémy Cabella,fr FRA,"MF,FW",Marseille,1990,28.4,5,,21,,,0.74,,0.24,,,0,0,2015,French
Jimmy Cabot,fr FRA,"MF,FW",Troyes,1994,8.1,3,,6,,,0.74,,0.5,,,0,0,2015,French
Jimmy Cabot,fr FRA,"MF,FW",Lorient,1994,8.3,1,,9,,,1.09,,0.11,,,0,0,2015,French
Dorian Caddy,fr FRA,FW,Nice,1995,2.6,0,,3,,,1.13,,0,,,0,0,2015,French
Yannick Cahuzac,fr FRA,MF,Bastia,1985,28.3,2,,5,,,0.18,,0.4,,,0,0,2015,French
Abdoul Camara,gn GUI,FW,Angers,1990,16.2,2,,10,,,0.62,,0.2,,,0,0,2015,French
Souleymane Camara,sn SEN,"FW,MF",Montpellier,1982,22.1,7,,22,,,1,,0.32,,,0,0,2015,French
Fabien Camus,tn TUN,"MF,FW",Troyes,1985,26.7,5,,23,,,0.86,,0.22,,,0,0,2015,French
Lorik Cana,al ALB,DF,Nantes,1983,19.5,0,,1,,,0.05,,0,,,0,0,2015,French
Pierrick Capelle,fr FRA,"FW,MF",Angers,1987,14,4,,9,,,0.64,,0.44,,,0,0,2015,French
Yoan Cardinale,fr FRA,GK,Nice,1994,25.6,0,,0,,,0,,,,,0,0,2015,French
Julien Cardy,fr FRA,MF,Guingamp,1981,5.7,0,,2,,,0.35,,0,,,0,0,2015,French
Cédric Carrasso,fr FRA,GK,Bordeaux,1981,19,0,,0,,,0,,,,,0,0,2015,French
Johann Carrasso,fr FRA,GK,Reims,1988,10,0,,0,,,0,,,,,0,0,2015,French
Guido Carrillo,ar ARG,FW,Monaco,1991,17.8,4,,19,,,1.07,,0.21,,,0,0,2015,French
Ricardo Carvalho,pt POR,DF,Monaco,1978,32.2,2,,5,,,0.16,,0.4,,,0,0,2015,French
Ivan Cavaleiro,pt POR,"MF,FW",Monaco,1993,5.7,1,,4,,,0.7,,0.25,,,0,0,2015,French
Edinson Cavani,uy URU,FW,Paris S-G,1987,25.7,19,,45,,,1.75,,0.42,,,0,1,2015,French
Ilyes Chaïbi,dz ALG,FW,Monaco,1996,0.1,0,,0,,,0,,,,,0,0,2015,French
Florent Chaigneau,fr FRA,GK,Lorient,1984,2,0,,0,,,0,,,,,0,0,2015,French
Clément Chantôme,fr FRA,MF,Bordeaux,1987,24.2,1,,2,,,0.08,,0.5,,,0,0,2015,French
Gaëtan Charbonnier,fr FRA,"FW,MF",Reims,1988,14,4,,9,,,0.64,,0.44,,,0,0,2015,French
Amine Chermiti,tn TUN,"MF,FW",Gazélec Ajaccio,1987,3.1,0,,2,,,0.65,,0,,,0,0,2015,French
Gilles Cioni,fr FRA,DF,Bastia,1984,17.6,0,,0,,,0,,,,,0,0,2015,French
Renato Civelli,ar ARG,DF,Lille,1983,30.7,0,,5,,,0.16,,0,,,0,0,2015,French
Jérémy Clément,fr FRA,MF,Saint-Étienne,1984,24.7,0,,1,,,0.04,,0,,,0,0,2015,French
François Clerc,fr FRA,"DF,MF",Saint-Étienne,1983,9.7,0,,0,,,0,,,,,0,0,2015,French
Marcus Coco,fr FRA,MF,Guingamp,1996,19.2,1,,7,,,0.37,,0.14,,,0,0,2015,French
Alexandre Coeff,fr FRA,DF,Gazélec Ajaccio,1992,22.2,0,,2,,,0.09,,0,,,0,0,2015,French
Fábio Coentrão,pt POR,"DF,MF",Monaco,1988,12,3,,4,,,0.33,,0.75,,,0,0,2015,French
Renaud Cohade,fr FRA,MF,Saint-Étienne,1984,12.7,0,,3,,,0.24,,0,,,0,0,2015,French
Alois Confais,fr FRA,"DF,MF",Troyes,1996,13.4,0,,0,,,0,,,,,0,0,2015,French
Daniel Congré,fr FRA,DF,Montpellier,1985,34.8,2,,2,,,0.06,,1,,,0,0,2015,French
Antoine Conte,fr FRA,DF,Reims,1994,10.2,0,,3,,,0.29,,0,,,0,0,2015,French
Diego Contento,de GER,DF,Bordeaux,1990,23.5,2,,5,,,0.21,,0.4,,,0,0,2015,French
Sébastien Corchia,fr FRA,"DF,MF",Lille,1990,29.2,2,,9,,,0.31,,0.22,,,0,0,2015,French
Benjamin Corgnet,fr FRA,MF,Saint-Étienne,1987,6.1,1,,2,,,0.33,,0.5,,,0,0,2015,French
Maxwel Cornet,ci CIV,"FW,MF",Lyon,1996,16.8,8,,13,,,0.77,,0.62,,,0,0,2015,French
Quentin Cornette,fr FRA,MF,Montpellier,1994,1.7,0,,1,,,0.6,,0,,,0,0,2015,French
Jonathan Correia,fr FRA,DF,Nice,1994,2.6,0,,0,,,0,,,,,0,0,2015,French
Hélder Costa,pt POR,"MF,FW",Monaco,1994,14.3,3,,9,,,0.63,,0.33,,,0,0,2015,French
Benoît Costil,fr FRA,GK,Rennes,1987,31,0,,0,,,0,,,,,0,0,2015,French
Lassana Coulibaly,ml MLI,MF,Bastia,1996,7.8,1,,5,,,0.64,,0.2,,,0,0,2015,French
Yoann Court,fr FRA,"MF,FW",Troyes,1990,10.6,0,,6,,,0.56,,0,,,0,0,2015,French
Enzo Crivelli,fr FRA,FW,Bordeaux,1995,17,3,,9,,,0.53,,0.33,,,0,0,2015,French
Damien Da Silva,fr FRA,DF,Caen,1988,27.6,2,,5,,,0.18,,0.4,,,0,0,2015,French
Bryan Dabo,bf BFA,"MF,DF",Montpellier,1992,31.7,5,,11,,,0.35,,0.45,,,0,0,2015,French
Mouhamadou Dabo,fr FRA,DF,Troyes,1986,11.8,0,,1,,,0.08,,0,,,0,0,2015,French
Gaël Danic,fr FRA,"MF,FW",Bastia,1981,30,5,,21,,,0.7,,0.19,,,1,1,2015,French
Romain Danzé,fr FRA,DF,Rennes,1986,17.9,0,,4,,,0.22,,0,,,0,0,2015,French
Stéphane Darbion,fr FRA,MF,Troyes,1984,18.4,1,,13,,,0.71,,0.08,,,0,0,2015,French
Sergi Darder,es ESP,MF,Lyon,1993,16.4,2,,8,,,0.49,,0.25,,,0,0,2015,French
Paolo De Ceglie,it ITA,DF,Marseille,1986,3.4,0,,1,,,0.3,,0,,,0,0,2015,French
Nill De Pauw,cd COD,MF,Guingamp,1990,4.1,0,,4,,,0.99,,0,,,0,0,2015,French
Lucas Deaux,fr FRA,"MF,DF",Nantes,1988,13.2,0,,1,,,0.08,,0,,,0,0,2015,French
Mathieu Debuchy,fr FRA,DF,Bordeaux,1985,8.7,0,,2,,,0.23,,0,,,0,0,2015,French
Romain Del Castillo,fr FRA,"FW,MF",Lyon,1996,0.4,0,,0,,,0,,,,,0,0,2015,French
Jonathan Delaplace,fr FRA,MF,Caen,1986,17.3,0,,5,,,0.29,,0,,,0,0,2015,French
Andy Delort,dz ALG,FW,Caen,1991,34.9,12,,62,,,1.78,,0.13,,,4,5,2015,French
Mana Dembélé,ml MLI,FW,Guingamp,1988,4.8,0,,3,,,0.62,,0,,,0,0,2015,French
Ousmane Dembélé,fr FRA,"MF,FW",Rennes,1997,21.1,12,,28,,,1.33,,0.39,,,1,1,2015,French
Mathieu Deplagne,fr FRA,DF,Montpellier,1991,20,0,,2,,,0.1,,0,,,0,0,2015,French
Gregory van der Wiel,nl NED,DF,Paris S-G,1988,15.3,2,,5,,,0.33,,0.4,,,0,0,2015,French
Antoine Devaux,fr FRA,MF,Reims,1985,31.2,1,,8,,,0.26,,0.13,,,0,0,2015,French
Jean Deza,pe PER,"MF,FW",Montpellier,1993,2.1,0,,1,,,0.47,,0,,,0,0,2015,French
Ángel Di María,ar ARG,"FW,MF",Paris S-G,1988,23.6,10,,26,,,1.1,,0.38,,,0,0,2015,French
Issiar Dia,sn SEN,FW,Gazélec Ajaccio,1987,4,0,,3,,,0.75,,0,,,0,0,2015,French
Cheick Diabaté,ml MLI,FW,Bordeaux,1988,16,10,,18,,,1.13,,0.5,,,1,1,2015,French
Abou Diaby,fr FRA,MF,Marseille,1986,1.5,0,,0,,,0,,,,,0,0,2015,French
Fallou Diagne,sn SEN,DF,Rennes,1989,20.6,5,,6,,,0.29,,0.5,,,2,2,2015,French
Abdoulaye Diallo,sn SEN,GK,Rennes,1992,7,0,,0,,,0,,,,,0,0,2015,French
Mustapha Diallo,sn SEN,MF,Guingamp,1986,21.3,1,,9,,,0.42,,0.11,,,0,0,2015,French
Sadio Diallo,gn GUI,"MF,FW",Bastia,1990,7.9,2,,6,,,0.76,,0.33,,,0,0,2015,French
Lassana Diarra,fr FRA,MF,Marseille,1985,23.2,1,,2,,,0.09,,0.5,,,0,0,2015,French
Étienne Didot,fr FRA,MF,Toulouse,1983,18.2,0,,3,,,0.16,,0,,,0,0,2015,French
Diego,br BRA,"MF,FW",Reims,1988,16.1,3,,9,,,0.56,,0.22,,,1,1,2015,French
Charles Diers,fr FRA,MF,Angers,1981,5.4,1,,2,,,0.37,,0.5,,,0,0,2015,French
Ismaël Diomandé,ci CIV,MF,Caen,1992,4.5,0,,6,,,1.33,,0,,,0,0,2015,French
Ismaël Diomandé,ci CIV,MF,Saint-Étienne,1992,3.4,0,,2,,,0.59,,0,,,0,0,2015,French
Issa Diop,fr FRA,DF,Toulouse,1997,21,1,,2,,,0.1,,0.5,,,0,0,2015,French
Nabil Dirar,ma MAR,"MF,FW",Monaco,1986,17.2,2,,10,,,0.58,,0.2,,,0,0,2015,French
Brice Dja Djédjé,ci CIV,DF,Marseille,1990,16.4,0,,4,,,0.24,,0,,,0,0,2015,French
Koffi Djidji,ci CIV,DF,Nantes,1992,19.9,0,,0,,,0,,,,,0,0,2015,French
Alexander Djiku,gh GHA,DF,Bastia,1994,16.8,0,,1,,,0.06,,0,,,0,0,2015,French
Férébory Doré,cg CGO,"FW,MF",Angers,1989,6.9,0,,1,,,0.15,,0,,,0,0,2015,French
Laurent Dos Santos,fr FRA,DF,Guingamp,1993,6.7,0,,1,,,0.15,,0,,,0,0,2015,French
Nicolas Douchez,fr FRA,GK,Paris S-G,1980,1,0,,0,,,0,,,,,0,0,2015,French
Abdoulaye Doucouré,fr FRA,"MF,FW",Rennes,1993,10.5,2,,7,,,0.67,,0.29,,,0,0,2015,French
Tongo Doumbia,ml MLI,MF,Toulouse,1989,21,1,,13,,,0.62,,0.08,,,0,0,2015,French
Matthieu Dreyer,fr FRA,GK,Troyes,1989,15,0,,0,,,0,,,,,0,0,2015,French
Leo Dubois,fr FRA,DF,Nantes,1994,22,0,,2,,,0.09,,0,,,0,0,2015,French
David Ducourtioux,fr FRA,MF,Gazélec Ajaccio,1978,29.5,0,,5,,,0.17,,0,,,0,0,2015,French
Maxime Dupé,fr FRA,GK,Nantes,1993,7,0,,0,,,0,,,,,0,0,2015,French
Elderson Echiéjilé,ng NGA,DF,Monaco,1988,17.4,0,,0,,,0,,,,,0,0,2015,French
Éder,pt POR,FW,Lille,1987,11.9,6,,18,,,1.51,,0.28,,,1,1,2015,French
Vincent Enyeama,ng NGA,GK,Lille,1982,34.8,0,,0,,,0,,,,,0,0,2015,French
Kermit Erasmus,za RSA,"FW,MF",Rennes,1990,0.4,0,,0,,,0,,,,,0,0,2015,French
Mevlüt Erdinç,tr TUR,FW,Guingamp,1987,9.7,4,,5,,,0.52,,0.8,,,0,0,2015,French
Valentin Eysseric,fr FRA,"MF,FW",Saint-Étienne,1992,19.2,6,,8,,,0.42,,0.5,,,2,2,2015,French
Valentin Eysseric,fr FRA,"FW,MF",Nice,1992,0.2,0,,0,,,0,,,,,0,0,2015,French
Fabinho,br BRA,"DF,MF",Monaco,1993,34,6,,14,,,0.41,,0,,,6,6,2015,French
Nabil Fekir,fr FRA,"FW,MF",Lyon,1993,5.2,4,,8,,,1.55,,0.5,,,0,0,2015,French
Julien Féret,fr FRA,MF,Caen,1982,36.3,4,,11,,,0.3,,0.27,,,1,1,2015,French
Gelson Fernandes,ch SUI,MF,Rennes,1986,32.2,1,,2,,,0.06,,0.5,,,0,0,2015,French
Jordan Ferri,fr FRA,MF,Lyon,1992,27.2,2,,14,,,0.52,,0.14,,,0,0,2015,French
Rodéric Filippi,fr FRA,DF,Gazélec Ajaccio,1989,21.4,2,,3,,,0.14,,0.67,,,0,0,2015,French
Steven Fletcher,sco SCO,FW,Marseille,1987,8.4,2,,7,,,0.84,,0.29,,,0,1,2015,French
Mohamed Fofana,ml MLI,DF,Reims,1985,10.9,0,,1,,,0.09,,0,,,0,0,2015,French
Moryké Fofana,ci CIV,"FW,MF",Lorient,1991,1.3,0,,0,,,0,,,,,0,0,2015,French
Seko Fofana,ci CIV,MF,Bastia,1995,25.6,1,,8,,,0.31,,0.13,,,0,0,2015,French
Odaïr Fortes,cv CPV,"MF,FW",Reims,1987,5.3,0,,0,,,0,,,,,0,0,2015,French
Milan Gajić,rs SRB,DF,Bordeaux,1996,6.5,1,,1,,,0.15,,1,,,0,0,2015,French
Marvin Gakpa,fr FRA,"FW,MF",Lorient,1993,0.5,0,,1,,,2.05,,0,,,0,0,2015,French
Lamine Gassama,sn SEN,DF,Lorient,1989,30.1,0,,0,,,0,,,,,0,0,2015,French
Romain Genevois,ht HAI,"DF,MF",Nice,1987,11.2,1,,1,,,0.09,,1,,,0,0,2015,French
Valère Germain,fr FRA,FW,Nice,1990,34.5,14,,37,,,1.07,,0.38,,,0,0,2015,French
Rachid Ghezzal,dz ALG,"FW,MF",Lyon,1992,17.7,8,,25,,,1.41,,0.32,,,0,0,2015,French
Guillaume Gillet,be BEL,MF,Nantes,1984,19,1,,5,,,0.26,,0.2,,,0,0,2015,French
Thibault Giresse,fr FRA,MF,Guingamp,1981,18.9,4,,6,,,0.32,,0.33,,,2,2,2015,French
Joris Gnagnon,fr FRA,"MF,DF",Rennes,1997,2.9,0,,0,,,0,,,,,0,0,2015,French
Jules Goda,cm CMR,GK,Gazélec Ajaccio,1989,2.4,0,,0,,,0,,,,,0,0,2015,French
Mauro Goicoechea,uy URU,GK,Toulouse,1988,8.2,0,,0,,,0,,,,,0,0,2015,French
Diego Gómez,ar ARG,"FW,MF",Angers,1984,0.3,0,,0,,,0,,,,,0,0,2015,French
Kévin Gomis,gw GNB,DF,Nice,1989,2,0,,0,,,0,,,,,0,0,2015,French
Rémi Gomis,sn SEN,MF,Nantes,1984,13.2,0,,0,,,0,,,,,0,0,2015,French
Maxime Gonalons,fr FRA,"MF,DF",Lyon,1989,32.1,0,,5,,,0.16,,0,,,0,0,2015,French
Mathieu Gorgelin,fr FRA,GK,Lyon,1990,1,0,,0,,,0,,,,,0,0,2015,French
Yoann Gourcuff,fr FRA,"MF,FW",Rennes,1986,6.9,2,,3,,,0.44,,0.67,,,0,0,2015,French
Samuel Grandsir,fr FRA,"FW,MF",Troyes,1996,0.2,0,,0,,,0,,,,,0,0,2015,French
Clément Grenier,fr FRA,"MF,FW",Lyon,1991,11.3,2,,3,,,0.27,,0.67,,,0,0,2015,French
Kamil Grosicki,pl POL,"MF,FW",Rennes,1988,17.1,9,,23,,,1.35,,0.39,,,0,0,2015,French
Paul-André Guérin,fr FRA,GK,Gazélec Ajaccio,1997,1.6,0,,0,,,0,,,,,0,0,2015,French
Raphaël Guerreiro,pt POR,"DF,MF",Lorient,1993,27.8,3,,13,,,0.47,,0.23,,,0,0,2015,French
Babacar Guèye,sn SEN,FW,Troyes,1994,6.7,1,,6,,,0.9,,0.17,,,0,0,2015,French
Frederic Guilbert,fr FRA,DF,Bordeaux,1994,27.9,0,,1,,,0.04,,0,,,0,0,2015,French
Baptiste Guillaume,be BEL,FW,Lille,1995,6,0,,2,,,0.33,,0,,,0,0,2015,French
Sehrou Guirassy,fr FRA,FW,Lille,1996,3.4,0,,3,,,0.89,,0,,,0,0,2015,French
Habib Habibou,cf CTA,FW,Rennes,1987,0.1,0,,0,,,0,,,,,0,0,2015,French
Romain Hamouma,fr FRA,"MF,FW",Saint-Étienne,1987,17.7,3,,13,,,0.73,,0.23,,,0,0,2015,French
Jesper Hansen,dk DEN,GK,Bastia,1985,3.5,0,,0,,,0,,,,,0,0,2015,French
Ilias Hassani,dz ALG,DF,Bordeaux,1995,0.2,0,,0,,,0,,,,,0,0,2015,French
Mouez Hassen,tn TUN,GK,Nice,1995,12,0,,0,,,0,,,,,0,0,2015,French
Pedro Henrique,br BRA,"FW,MF",Rennes,1990,13.4,3,,10,,,0.74,,0.3,,,0,1,2015,French
Thomas Henry,fr FRA,FW,Nantes,1994,0.3,0,,0,,,0,,,,,0,0,2015,French
Franck Héry,fr FRA,DF,Guingamp,1993,3,0,,0,,,0,,,,,0,0,2015,French
Vitorino Hilton,br BRA,DF,Montpellier,1977,35.3,1,,7,,,0.2,,0.14,,,0,0,2015,French
Franck Honorat,fr FRA,"FW,MF",Nice,1996,1.3,0,,2,,,1.53,,0,,,0,0,2015,French
Lyes Houri,fr FRA,MF,Bastia,1996,0.2,0,,0,,,0,,,,,0,0,2015,French
Niklas Hult,se SWE,"MF,DF",Nice,1990,8.9,1,,3,,,0.34,,0.33,,,0,0,2015,French
Deniz Hummet,tr TUR,FW,Troyes,1996,1.7,0,,1,,,0.57,,0,,,0,0,2015,French
Didier Ibrahim Ndong,ga GAB,MF,Lorient,1994,33.9,2,,6,,,0.18,,0.33,,,0,0,2015,French
Zlatan Ibrahimović,se SWE,FW,Paris S-G,1981,28.3,38,,81,,,2.86,,0.41,,,5,6,2015,French
Jules Iloki,fr FRA,MF,Nantes,1992,11.3,1,,2,,,0.18,,0.5,,,0,0,2015,French
Emmanuel Imorou,bj BEN,DF,Caen,1988,13.3,1,,1,,,0.07,,1,,,0,0,2015,French
Mauricio Isla,cl CHI,"MF,DF",Marseille,1988,20,2,,4,,,0.2,,0.5,,,0,0,2015,French
Lars Jacobsen,dk DEN,DF,Guingamp,1979,30.6,0,,1,,,0.03,,0,,,0,0,2015,French
Christophe Jallet,fr FRA,DF,Lyon,1983,19.6,1,,5,,,0.26,,0.2,,,0,0,2015,French
Nicolas Janvier,fr FRA,MF,Rennes,1998,0.3,0,,0,,,0,,,,,0,0,2015,French
Corentin Jean,fr FRA,"FW,MF",Troyes,1995,29.1,4,,24,,,0.82,,0.17,,,0,0,2015,French
Benjamin Jeannot,fr FRA,FW,Lorient,1992,19.8,7,,24,,,1.21,,0.29,,,0,0,2015,French
Yassine Jebbour,ma MAR,DF,Bastia,1991,2,0,,0,,,0,,,,,0,0,2015,French
Jemerson,br BRA,DF,Monaco,1992,3.2,0,,0,,,0,,,,,0,0,2015,French
Yann Jouffre,fr FRA,MF,Lorient,1984,19.7,2,,10,,,0.51,,0.2,,,0,0,2015,French
Geoffrey Jourdren,fr FRA,GK,Montpellier,1986,7,0,,0,,,0,,,,,0,0,2015,French
Jussiê,br BRA,MF,Bordeaux,1983,5,0,,0,,,0,,,,,0,0,2015,French
Aldo Kalulu,fr FRA,FW,Lyon,1996,2.2,2,,2,,,0.91,,1,,,0,0,2015,French
François Kamano,gn GUI,"MF,FW",Bastia,1996,15.7,3,,12,,,0.77,,0.25,,,0,0,2015,French
Hassane Kamara,gm GAM,"DF,MF",Reims,1994,0.4,0,,0,,,0,,,,,0,0,2015,French
Jean-Armel Kana-Biyik,cm CMR,DF,Toulouse,1989,16.2,2,,3,,,0.18,,0.67,,,0,0,2015,French
Jaba Kankava,ge GEO,MF,Reims,1986,25.9,0,,4,,,0.15,,0,,,0,0,2015,French
Abdelhamid El Kaoutari,ma MAR,DF,Reims,1990,7.2,0,,1,,,0.14,,0,,,0,0,2015,French
Lossémy Karaboué,ci CIV,"DF,MF",Troyes,1988,26.1,0,,6,,,0.23,,0,,,0,0,2015,French
Hamadou Karamoko,ci CIV,DF,Lorient,1995,3,0,,0,,,0,,,,,0,0,2015,French
Goran Karanović,ch SUI,FW,Angers,1987,3.4,1,,2,,,0.58,,0.5,,,0,0,2015,French
Abdoulaye Keita,ml MLI,MF,Bastia,1994,0.4,0,,0,,,0,,,,,0,0,2015,French
Olivier Kemen,fr FRA,MF,Lyon,1996,1.2,0,,0,,,0,,,,,0,0,2015,French
Christophe Kerbrat,fr FRA,DF,Guingamp,1986,28.8,0,,1,,,0.03,,0,,,0,0,2015,French
Billy Ketkeophomphone,la LAO,FW,Angers,1990,29.8,5,,21,,,0.7,,0.19,,,1,1,2015,French
Wahbi Khazri,tn TUN,"MF,FW",Bordeaux,1991,17.5,5,,19,,,1.08,,0.26,,,0,1,2015,French
Isaac Kiese Thelin,se SWE,"FW,MF",Bordeaux,1992,3.4,0,,1,,,0.3,,0,,,0,0,2015,French
Presnel Kimpembe,fr FRA,DF,Paris S-G,1995,4.7,0,,0,,,0,,,,,0,0,2015,French
Erwin Koffi,fr FRA,FW,Lorient,1995,1,0,,0,,,0,,,,,0,0,2015,French
Bakary Koné,bf BFA,DF,Lyon,1988,4.8,0,,1,,,0.21,,0,,,0,0,2015,French
Lamine Koné,ci CIV,DF,Lorient,1989,17.2,0,,3,,,0.17,,0,,,0,0,2015,French
Mory Koné,ci CIV,DF,Troyes,1994,2.6,0,,0,,,0,,,,,0,0,2015,French
Youssouf Koné,ml MLI,DF,Lille,1995,0.1,0,,0,,,0,,,,,0,0,2015,French
Christian Kouakou,ci CIV,FW,Caen,1991,1.4,1,,2,,,1.4,,0.5,,,0,0,2015,French
Vincent Koziello,fr FRA,MF,Nice,1995,30,3,,5,,,0.17,,0.6,,,0,0,2015,French
Layvin Kurzawa,fr FRA,DF,Paris S-G,1992,14.3,3,,4,,,0.28,,0.75,,,0,0,2015,French
Layvin Kurzawa,fr FRA,DF,Monaco,1992,2.5,1,,3,,,1.18,,0.33,,,0,0,2015,French
Enock Kwateng,fr FRA,DF,Nantes,1997,0.3,0,,0,,,0,,,,,0,0,2015,French
Grejohn Kyei,fr FRA,FW,Reims,1995,8.1,3,,9,,,1.11,,0.22,,,1,1,2015,French
Zakarie Labidi,fr FRA,MF,Lyon,1995,0.3,0,,1,,,3.33,,0,,,0,0,2015,French
Gaëtan Laborde,fr FRA,FW,Bordeaux,1994,0.1,0,,0,,,0,,,,,0,0,2015,French
Alexandre Lacazette,fr FRA,FW,Lyon,1991,32.9,21,,51,,,1.55,,0.37,,,2,2,2015,French
Alban Lafont,fr FRA,GK,Toulouse,1999,23.8,0,,0,,,0,,,,,0,0,2015,French
Aïssa Laïdouni,fr FRA,DF,Angers,1996,1,0,,0,,,0,,,,,0,0,2015,French
Mohamed Larbi,tn TUN,"MF,FW",Gazélec Ajaccio,1987,25.3,8,,19,,,0.75,,0.37,,,1,1,2015,French
Paul Lasne,fr FRA,MF,Montpellier,1989,5.7,0,,0,,,0,,,,,0,0,2015,French
Wesley Lautoa,nc NCL,DF,Lorient,1987,11.2,0,,2,,,0.18,,0,,,0,0,2015,French
Ezequiel Lavezzi,ar ARG,"FW,MF",Paris S-G,1985,4.9,2,,7,,,1.44,,0.29,,,0,0,2015,French
Valentin Lavigne,fr FRA,FW,Lorient,1994,1.7,0,,1,,,0.58,,0,,,0,0,2015,French
Mickaël Le Bihan,fr FRA,FW,Nice,1990,1.5,1,,3,,,1.97,,0.33,,,0,0,2015,French
Vincent Le Goff,fr FRA,DF,Lorient,1989,19.8,0,,3,,,0.15,,0,,,0,0,2015,French
Maxime Le Marchand,fr FRA,DF,Nice,1989,24.4,1,,2,,,0.08,,0.5,,,0,0,2015,French
Jordan Leborgne,fr FRA,"MF,FW",Caen,1995,7.4,0,,5,,,0.68,,0,,,0,0,2015,French
Jean-Louis Leca,fr FRA,GK,Bastia,1985,33.2,0,,0,,,0,,,,,0,0,2015,French
Benjamin Lecomte,fr FRA,GK,Lorient,1991,36,0,,0,,,0,,,,,0,0,2015,French
Reynald Lemaître,fr FRA,DF,Guingamp,1983,5,0,,0,,,0,,,,,0,0,2015,French
Thomas Lemar,fr FRA,"MF,FW",Monaco,1995,20.1,5,,8,,,0.4,,0.63,,,0,0,2015,French
Mario Lemina,ga GAB,MF,Marseille,1993,3.7,0,,1,,,0.27,,0,,,0,0,2015,French
Jérôme Lemoigne,fr FRA,MF,Gazélec Ajaccio,1983,27.3,0,,3,,,0.11,,0,,,0,0,2015,French
Fabien Lemoine,fr FRA,MF,Saint-Étienne,1987,27.2,0,,4,,,0.15,,0,,,0,0,2015,French
Ermir Lenjani,al ALB,"DF,FW",Rennes,1989,0.9,0,,4,,,4.62,,0,,,0,0,2015,French
Ermir Lenjani,al ALB,"DF,MF",Nantes,1989,15.5,1,,5,,,0.32,,0.2,,,0,0,2015,French
Alexandre Letellier,fr FRA,GK,Angers,1990,17,0,,23,,,1.35,,0,,,0,0,2015,French
Dorian Lévêque,fr FRA,DF,Guingamp,1989,13.4,1,,3,,,0.22,,0.33,,,0,0,2015,French
Jonathan Ligali,fr FRA,GK,Montpellier,1991,6,0,,0,,,0,,,,,0,0,2015,French
Jérémy Livolant,fr FRA,MF,Guingamp,1998,0.1,0,,0,,,0,,,,,0,0,2015,French
Gautier Lloris,fr FRA,DF,Nice,1995,0.7,0,,0,,,0,,,,,0,0,2015,French
Anthony Lopes,pt POR,GK,Lyon,1990,37,0,,0,,,0,,,,,0,0,2015,French
Rony Lopes,pt POR,FW,Lille,1995,5.8,2,,8,,,1.39,,0.25,,,0,0,2015,French
Rony Lopes,pt POR,"MF,FW",Monaco,1995,1.3,0,,0,,,0,,,,,0,0,2015,French
Jonas Lössl,dk DEN,GK,Guingamp,1989,37,0,,0,,,0,,,,,0,0,2015,French
Jeff Louis,ht HAI,"MF,FW",Caen,1992,7.8,1,,6,,,0.77,,0.17,,,0,0,2015,French
Vágner Love,br BRA,"FW,MF",Monaco,1984,8.7,4,,13,,,1.5,,0.31,,,0,1,2015,French
David Luiz,br BRA,DF,Paris S-G,1987,23.2,1,,5,,,0.22,,0.2,,,0,0,2015,French
Cheikh M'Bengue,sn SEN,DF,Rennes,1988,21.1,0,,0,,,0,,,,,0,0,2015,French
Hicham M'Laab,fr FRA,"FW,MF",Nantes,1990,0.3,0,,0,,,0,,,,,0,0,2015,French
Edwin Maanane,fr FRA,FW,Reims,1995,0.2,0,,0,,,0,,,,,0,0,2015,French
