season,Paris S-G,Monaco,Saint-Étienne,Lille,Manchester City,Liverpool,Chelsea,Arsenal,Bayern Munich,Dortmund,Schalke 04,Leverkusen,Juventus,Roma,Napoli,Fiorentina,Atlético Madrid,Barcelona,Real Madrid,Athletic Club
2010-2011,15,9,12,21,21,17,21,19,19,23,11,20,15,18,21,12,17,30,29,18
2011-2012,23,0,16,21,28,14,18,21,23,25,20,15,23,16,16,11,15,28,32,12
2012-2013,25,0,16,16,23,16,22,21,29,19,16,19,27,18,23,21,23,32,26,12
2013-2014,27,23,20,20,27,26,25,24,29,22,19,19,33,26,23,19,28,27,27,20
2014-2015,24,20,19,16,24,18,26,22,25,13,13,17,26,19,18,18,23,30,30,15
2015-2016,30,17,17,15,19,16,12,20,28,24,15,18,29,23,25,18,28,29,28,18
2016-2017,27,30,12,13,23,22,30,23,25,18,11,11,29,28,26,16,23,28,29,19
2017-2018,29,24,15,10,32,21,21,19,27,15,18,15,30,23,28,16,23,28,22,10
2018-2019,29,8,19,22,32,30,21,21,24,23,8,18,28,18,24,8,26,26,21,13
