Year,Paris Saint-Germain,AAPL,AMZN,NFLX,GOOG
2010,105.0,105.0,105.0,105.0,105.0
2011,105.0,231.33599082668061,249.31899882774,272.48769994848556,212.42898178636023
2012,105.0,317.66999541870825,429.2215246716216,267.4501682235598,390.0557236727227
2013,131.0,412.2103498130575,716.5700002387017,931.6458575074058,672.5001734138882
2014,415.0,1091.0674915712468,849.0615377697828,1568.0867997301327,903.1656101459762
2015,634.0,1898.4518397957402,1336.8850751215675,2687.5851313151493,1085.2196452437358
2016,814.0,1786.7926945456086,2088.364239026286,3040.8317949518037,1471.7265886087823
2017,841.0,2809.620857348559,3128.3030899426876,5166.463007608976,2062.6840092478587
2018,971.0,3662.9546727671304,5439.655468632491,10110.231187556643,2626.061334691743
